District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Hisar,,,,154113.0,5085.729,93546.591
Bhiwani,357047.0,18923.490999999998,156386.58599999998,99235.0,4366.34,51502.965000000004
Rohtak,,,,131739.0,3556.9530000000004,80887.746
Jhajjar,211816.0,10378.984,95740.83200000001,78328.0,3524.7599999999998,41122.200000000004
Mahendragarh,223726.0,6935.506,110073.19200000001,44216.0,1238.0479999999998,25335.767999999996
Rewari,199449.0,6581.817,96134.418,69305.0,1663.32,43870.065
Gurgaon,141703.0,4534.496,75385.996,381988.0,14897.532,255549.972
Mewat,187398.0,16865.82,58842.972,36237.0,1739.376,18770.766
Faridabad,87700.0,3771.1,43411.5,382981.0,9191.544,214852.34100000001
Palwal,186069.0,11722.347,73869.393,63090.0,2271.2400000000002,36276.75
North West,67592.0,3041.64,31835.832000000002,959275.0,31656.075,579402.1
North,4512.0,40.608000000000004,3244.128,296559.0,10379.565,169038.62999999998
North East,5326.0,149.128,3121.0359999999996,482255.0,9645.1,281636.92
East,1086.0,13.032,978.4859999999999,461132.0,8761.508,327864.85199999996
New Delhi,0.0,,,52664.0,1948.5680000000002,35232.216
Central,0.0,,,194897.0,6236.704,108167.835
West,1809.0,32.562000000000005,877.365,699703.0,19591.683999999997,461803.98000000004
South West,41179.0,1358.9070000000002,24172.073000000004,606503.0,15769.078000000001,409389.525
South,2918.0,134.228,1523.1960000000001,728145.0,21116.204999999998,472566.10500000004
Ganganagar,397697.0,9942.425000000001,214358.68300000002,164897.0,5441.601000000001,102895.728
Hanumangarh,389059.0,9337.416000000001,230711.987,108694.0,3369.514,68259.832
Bikaner,335754.0,16451.946,146724.49800000002,196179.0,3335.043,133597.89899999998
Churu,344897.0,20004.025999999998,186934.174,148996.0,3277.9120000000003,97592.38
Jhunjhunun,500452.0,12010.848,362327.248,,,
Alwar,782294.0,28162.584000000003,434955.46400000004,212967.0,3407.472,144817.56
Bharatpur,,,,129697.0,3112.728,69258.198
Dhaulpur,214670.0,14168.220000000001,73417.14,58626.0,2051.9100000000003,32302.926000000003
Karauli,305047.0,17082.631999999998,94564.56999999999,59308.0,1838.548,31789.088000000003
Sawai Madhopur,282057.0,12410.508000000002,110566.344,71264.0,1852.8640000000003,42544.608
Dausa,361084.0,19137.452,168265.144,59610.0,834.54,41309.729999999996
Jaipur,754841.0,31703.322000000004,394027.00200000004,977838.0,11734.056,680575.2479999999
Sikar,527560.0,14771.679999999998,341331.32,178274.0,2852.384,124435.252
Nagaur,675712.0,42569.856,314206.08,166489.0,3995.736,105887.004
Jodhpur,584215.0,30379.180000000004,261144.105,,,
Jaisalmer,159117.0,5091.744,64124.151,30830.0,524.11,17511.44
Barmer,542825.0,28769.725,189445.925,55980.0,1399.5,37226.700000000004
Jalor,419216.0,35214.144,163075.024,48202.0,1928.08,27523.342000000004
Sirohi,238535.0,16458.915,99230.56000000001,69639.0,1323.141,48190.188
Pali,512909.0,27697.086000000003,223115.415,139808.0,3495.2000000000003,86680.96
Ajmer,409335.0,13917.390000000001,187066.095,274919.0,3024.1090000000004,188044.59600000002
Tonk,298911.0,5679.309,127037.175,81755.0,2043.875,48153.695
Bundi,239836.0,8154.424000000001,93296.204,63452.0,1269.04,39022.979999999996
Bhilwara,530015.0,19080.54,210945.96999999997,145865.0,1896.2450000000001,97000.225
Rajsamand,304622.0,12794.124000000002,122458.04400000001,61054.0,610.54,40417.748
Dungarpur,322816.0,20014.592,97167.616,31547.0,662.4870000000001,21735.883
Banswara,390437.0,35529.767,80039.58499999999,39407.0,906.361,27663.714000000004
Chittaurgarh,366780.0,13204.080000000002,146712.0,88873.0,1599.7140000000002,61944.48100000001
Kota,203454.0,5696.7119999999995,100099.36800000002,311735.0,5922.965,208862.45
Baran,249184.0,7724.704,111136.064,69804.0,1396.08,42022.008
Jhalawar,298624.0,12840.831999999999,100934.912,63763.0,1339.0230000000001,41127.135
Udaipur,665449.0,25287.061999999998,232241.70099999997,182769.0,2193.228,134883.522
Pratapgarh,209813.0,5245.325000000001,66930.347,24269.0,339.76599999999996,17061.107
Pratapgarh,209813.0,5245.325000000001,66930.347,24269.0,728.0699999999999,14682.744999999999
Pratapgarh,209813.0,5245.325000000001,66930.347,41701.0,583.814,29315.803
Pratapgarh,209813.0,5245.325000000001,66930.347,41701.0,1251.03,25229.105
Pratapgarh,209813.0,13218.219000000001,100080.801,24269.0,339.76599999999996,17061.107
Pratapgarh,209813.0,13218.219000000001,100080.801,24269.0,728.0699999999999,14682.744999999999
Pratapgarh,209813.0,13218.219000000001,100080.801,41701.0,583.814,29315.803
Pratapgarh,209813.0,13218.219000000001,100080.801,41701.0,1251.03,25229.105
Pratapgarh,711085.0,17777.125,226836.115,24269.0,339.76599999999996,17061.107
Pratapgarh,711085.0,17777.125,226836.115,24269.0,728.0699999999999,14682.744999999999
Pratapgarh,711085.0,17777.125,226836.115,41701.0,583.814,29315.803
Pratapgarh,711085.0,17777.125,226836.115,41701.0,1251.03,25229.105
Pratapgarh,711085.0,44798.355,339187.54500000004,24269.0,339.76599999999996,17061.107
Pratapgarh,711085.0,44798.355,339187.54500000004,24269.0,728.0699999999999,14682.744999999999
